"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","7:32.4","7:32.4","1.00","7:32","7:44","131","140","0","8","275","3.13","319","3.63","158","292","--","0.83","8.1","9.8","81","30.0","6:52","172","7:24","7:24","--","--"
"2","7:41.0","15:13","1.00","7:41","7:48","139","142","0","8","278","3.16","289","3.28","161","297","--","0.81","8.1","9.9","80","29.0","7:21","165","7:41","7:41","--","--"
"3","7:52.5","23:06","1.00","7:52","7:56","141","145","0","2","276","3.14","289","3.28","161","299","--","0.79","8.0","10.1","78","30.0","7:38","165","7:52","7:52","--","--"
"4","7:48.8","30:55","1.00","7:49","7:57","145","149","0","4","275","3.13","303","3.44","162","296","--","0.78","7.9","10.1","77","30.0","7:10","167","7:48.8","7:49","--","--"
"5","7:52.2","38:47","1.00","7:52","7:54","145","148","0","3","261","2.97","279","3.17","161","298","--","0.80","7.9","10.0","78","29.0","7:23","170","7:52","7:52","--","--"
"6","8:19.5","47:06","1.00","8:20","8:12","147","156","4","1","253","2.88","387","4.40","147","303","--","0.81","7.9","10.0","85","30.0","5:41","169","8:05","8:05","--","--"
"7","8:11.2","55:18","1.00","8:11","8:19","148","151","1","3","264","3.00","282","3.20","159","303","--","0.77","7.8","10.3","78","30.0","7:54","163","8:11","8:11","--","--"
"8","8:02.2","1:03:20","1.00","8:02","8:04","149","164","0","1","271","3.08","310","3.52","157","305","--","0.79","8.0","10.2","80","29.0","7:05","165","8:02","8:02","--","--"
"9","3:35.7","1:06:56","0.43","8:27","8:15","147","149","2","0","271","3.08","358","4.07","155","306","--","0.76","7.9","10.3","34","29.0","6:26","167","3:33","8:21","--","--"
"10","8:27.0","1:15:23","1.00","8:27","8:25","147","150","6","0","267","3.03","287","3.26","157","308","--","0.75","7.8","10.5","78","29.0","8:01","161","8:27.0","8:27","--","--"
"11","8:22.8","1:23:46","1.00","8:23","8:15","152","172","3","0","262","2.98","356","4.05","151","314","--","0.79","7.9","10.0","85","30.0","6:33","165","8:18","8:18","--","--"
"12","8:52.5","1:32:38","1.00","8:52","8:31","151","160","21","0","276","3.14","321","3.65","154","318","--","0.73","7.7","10.5","84","30.0","7:44","160","8:52","8:52","--","--"
"13","8:28.1","1:41:06","1.00","8:28","8:17","151","161","10","0","280","3.18","330","3.75","158","309","--","0.75","7.8","10.4","83","32.0","7:30","165","8:28","8:28","--","--"
"14","8:42.4","1:49:49","1.00","8:42","8:34","148","159","10","0","252","2.86","305","3.47","146","307","--","0.73","7.7","10.6","81","29.0","8:07","165","8:42.4","8:42","--","--"
"15","8:15.2","1:58:04","1.00","8:15","8:09","147","150","6","3","277","3.15","306","3.48","158","305","--","0.77","7.9","10.3","78","28.0","7:36","163","8:15","8:15","--","--"
